ProbeID	miRNA_name
20506782	hsa-miR-1233-3p
20506783	hsa-miR-1234-3p
20506785	hsa-miR-1236-5p
20506786	hsa-miR-1236-3p
20506787	hsa-miR-1237-5p
20506788	hsa-miR-1237-3p
20506789	hsa-miR-1238-5p
20506790	hsa-miR-1238-3p
20506794	hsa-miR-1200
20506795	hsa-miR-1202
20506796	hsa-miR-1203
20506797	hsa-miR-663b
20506798	hsa-miR-1204
20506799	hsa-miR-1205
20506800	hsa-miR-1206
20506801	hsa-miR-1207-5p
20506802	hsa-miR-1207-3p
20506803	hsa-miR-1208
20506808	hsa-miR-548e-5p
20506809	hsa-miR-548e-3p
20506810	hsa-miR-548j-5p
20506811	hsa-miR-548j-3p
