Ontology,GO_ID,GO_term,candidate_hits,candidate_total,term_size,background_size,odds_ratio,P.Value,Genes,adj.P.Val,FDR_significant,single_gene_supported
BP,GO:0016574,histone ubiquitination,1,57,11,18514,32.941071428571426,0.03335859170056508,PHC1,0.12231483623540529,False,True
MF,GO:0019864,IgG binding,1,57,11,18514,32.941071428571426,0.03335859170056508,FCGR3B,0.12231483623540529,False,True
BP,GO:0031167,rRNA methylation,1,57,11,18514,32.941071428571426,0.03335859170056508,TFB2M,0.12231483623540529,False,True
BP,GO:0032693,negative regulation of interleukin-10 production,1,57,11,18514,32.941071428571426,0.03335859170056508,JAK3,0.12231483623540529,False,True
BP,GO:0043586,tongue development,1,57,11,18514,32.941071428571426,0.03335859170056508,WNT10A,0.12231483623540529,False,True
BP,GO:0050778,positive regulation of immune response,1,57,11,18514,32.941071428571426,0.03335859170056508,JAK3,0.12231483623540529,False,True
BP,GO:0060993,kidney morphogenesis,1,57,11,18514,32.941071428571426,0.03335859170056508,PRKX,0.12231483623540529,False,True
BP,GO:0045814,"negative regulation of gene expression, epigenetic",2,57,94,18514,7.258893280632411,0.033979234734830076,HIST1H4B;HIST1H4D,0.1236094995865472,False,False
BP,GO:0006071,glycerol metabolic process,1,57,12,18514,29.944805194805195,0.036336409366514805,GK5,0.12487480976906469,False,True
BP,GO:0006301,postreplication repair,1,57,12,18514,29.944805194805195,0.036336409366514805,UBE2A,0.12487480976906469,False,True
BP,GO:0006744,ubiquinone biosynthetic process,1,57,12,18514,29.944805194805195,0.036336409366514805,COQ7,0.12487480976906469,False,True
MF,GO:0015266,protein channel activity,1,57,12,18514,29.944805194805195,0.036336409366514805,TOMM40L,0.12487480976906469,False,True
CC,GO:0016327,apicolateral plasma membrane,1,57,12,18514,29.944805194805195,0.036336409366514805,OCLN,0.12487480976906469,False,True
CC,GO:0035102,PRC1 complex,1,57,12,18514,29.944805194805195,0.036336409366514805,PHC1,0.12487480976906469,False,True
BP,GO:0048490,anterograde synaptic vesicle transport,1,57,12,18514,29.944805194805195,0.036336409366514805,BLOC1S2,0.12487480976906469,False,True
BP,GO:0007608,sensory perception of smell,4,57,407,18514,3.3810571655976402,0.036489392464986434,OR10H2;OR1E2;OR1S2;OR2L3,0.12487480976906469,False,False
MF,GO:0019904,protein domain specific binding,3,57,238,18514,4.307801418439716,0.03693547827078389,HIST1H4B;HIST1H4D;OCLN,0.1252345441475475,False,False
BP,GO:0043488,regulation of mRNA stability,2,57,100,18514,6.812244897959184,0.03803437836340199,PCID2;PSME2,0.1252345441475475,False,False
CC,GO:0005813,centrosome,4,57,413,18514,3.3303501407021265,0.03818248564383975,BLOC1S2;HOOK3;RAB6C;SGOL1,0.1252345441475475,False,False
BP,GO:0002474,antigen processing and presentation of peptide antigen via MHC class I,2,57,101,18514,6.743067033976125,0.03872750848888354,PSME2;UBE2A,0.1252345441475475,False,False
CC,GO:0000780,"condensed nuclear chromosome, centromeric region",1,57,13,18514,27.447916666666668,0.03930521407228222,SGOL1,0.1252345441475475,False,True
CC,GO:0030897,HOPS complex,1,57,13,18514,27.447916666666668,0.03930521407228222,HOOK3,0.1252345441475475,False,True
CC,GO:0031083,BLOC-1 complex,1,57,13,18514,27.447916666666668,0.03930521407228222,BLOC1S2,0.1252345441475475,False,True
BP,GO:0031640,killing of cells of other organism,1,57,13,18514,27.447916666666668,0.03930521407228222,GNLY,0.1252345441475475,False,True
BP,GO:0032695,negative regulation of interleukin-12 production,1,57,13,18514,27.447916666666668,0.03930521407228222,JAK3,0.1252345441475475,False,True
BP,GO:0071539,protein localization to centrosome,1,57,13,18514,27.447916666666668,0.03930521407228222,HOOK3,0.1252345441475475,False,True
BP,GO:0000278,mitotic cell cycle,4,57,422,18514,3.25701904847883,0.04080624988377457,HIST1H4B;HIST1H4D;PSME2;SGOL1,0.1291266263445469,False,False
BP,GO:0001841,neural tube formation,1,57,14,18514,25.335164835164836,0.04226503261170603,COQ7,0.1310499668899878,False,True
MF,GO:0004185,serine-type carboxypeptidase activity,1,57,14,18514,25.335164835164836,0.04226503261170603,CPVL,0.1310499668899878,False,True
BP,GO:1902230,negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage,1,57,14,18514,25.335164835164836,0.04226503261170603,SNORA31,0.1310499668899878,False,True
CC,GO:0000922,spindle pole,2,57,107,18514,6.355670995670995,0.04298670675430696,PRC1;SGOL1,0.13137623656856057,False,False
BP,GO:0098792,xenophagy,2,57,107,18514,6.355670995670995,0.04298670675430696,CHAF1B;FCGR3B,0.13137623656856057,False,False
BP,GO:0006281,DNA repair,4,57,430,18514,3.1944370626273364,0.04322335055935326,CHAF1B;HIST1H4B;HIST1H4D;UBE2A,0.13137623656856057,False,False
BP,GO:0040029,"regulation of gene expression, epigenetic",2,57,108,18514,6.295368782161235,0.0437129845301293,HIST1H4B;HIST1H4D,0.13199607093411592,False,False
BP,GO:0008340,determination of adult lifespan,1,57,15,18514,23.524234693877553,0.04521589170041593,COQ7,0.134772528810272,False,True
BP,GO:0050868,negative regulation of T cell activation,1,57,15,18514,23.524234693877553,0.04521589170041593,JAK3,0.134772528810272,False,True
CC,GO:0043234,protein complex,4,57,439,18514,3.1267837779223595,0.046038116971265204,CHAF1B;HIST1H4B;HIST1H4D;TOMM40L,0.1363436541072085,False,False
CC,GO:0001741,XY body,1,57,16,18514,21.954761904761906,0.04815781797605656,UBE2A,0.13993026355307,False,True
BP,GO:0030150,protein import into mitochondrial matrix,1,57,16,18514,21.954761904761906,0.04815781797605656,TOMM40L,0.13993026355307,False,True
BP,GO:0050768,negative regulation of neurogenesis,1,57,16,18514,21.954761904761906,0.04815781797605656,HOOK3,0.13993026355307,False,True
CC,GO:0000242,pericentriolar material,1,57,17,18514,20.581473214285715,0.05109083799851116,HOOK3,0.14480961444976784,False,True
BP,GO:0001935,endothelial cell proliferation,1,57,17,18514,20.581473214285715,0.05109083799851116,PRKX,0.14480961444976784,False,True
BP,GO:0031589,cell-substrate adhesion,1,57,17,18514,20.581473214285715,0.05109083799851116,PRKX,0.14480961444976784,False,True
BP,GO:0045954,positive regulation of natural killer cell mediated cytotoxicity,1,57,17,18514,20.581473214285715,0.05109083799851116,SH2D1A,0.14480961444976784,False,True
BP,GO:0006461,protein complex assembly,2,57,120,18514,5.651463790446841,0.05277726076591861,CHAF1B;OCLN,0.14807079237317888,False,False
BP,GO:0007020,microtubule nucleation,1,57,18,18514,19.369747899159663,0.054014978250124114,BLOC1S2,0.14807079237317888,False,True
BP,GO:0010824,regulation of centrosome duplication,1,57,18,18514,19.369747899159663,0.054014978250124114,RAB6C,0.14807079237317888,False,True
BP,GO:0032438,melanosome organization,1,57,18,18514,19.369747899159663,0.054014978250124114,BLOC1S2,0.14807079237317888,False,True
MF,GO:0046982,protein heterodimerization activity,4,57,463,18514,2.9593455830969706,0.054037911633047095,HIST1H2AJ;HIST1H2BL;HIST1H4B;HIST1H4D,0.14807079237317888,False,False
BP,GO:0042981,regulation of apoptotic process,3,57,278,18514,3.673131313131313,0.05416442404992907,JAK3;PSME2;SNORA31,0.14807079237317888,False,False
BP,GO:0002230,positive regulation of defense response to virus by host,2,57,124,18514,5.464977645305514,0.055935841153419576,CHAF1B;FCGR3B,0.15201387419341086,False,False
MF,GO:0008757,S-adenosylmethionine-dependent methyltransferase activity,1,57,19,18514,18.29265873015873,0.056930265135923336,OCLN,0.1538115935251262,False,True
BP,GO:0031047,gene silencing by RNA,2,57,127,18514,5.332945454545454,0.05834763104623192,HIST1H4B;HIST1H4D,0.1567244508334834,False,False
BP,GO:0070584,mitochondrion morphogenesis,1,57,20,18514,17.32894736842105,0.059836724983841856,COQ7,0.1588768215088215,False,True
BP,GO:0097150,neuronal stem cell population maintenance,1,57,20,18514,17.32894736842105,0.059836724983841856,HOOK3,0.1588768215088215,False,True
BP,GO:0008150,biological_process,5,57,693,18514,2.4833687388193204,0.06156691367475601,F8A1;HIST1H2AJ;OR2L3;SBNO1;TOMM40L,0.16253665210135587,False,False
CC,GO:0034451,centriolar satellite,1,57,21,18514,16.461607142857144,0.06273438404493845,HOOK3,0.16374737530373762,False,True
BP,GO:0045022,early endosome to late endosome transport,1,57,21,18514,16.461607142857144,0.06273438404493845,HOOK3,0.16374737530373762,False,True
BP,GO:0098779,mitophagy in response to mitochondrial depolarization,2,57,134,18514,5.048209366391185,0.064112870923254,CHAF1B;FCGR3B,0.16640531666597388,False,False
BP,GO:0006261,DNA-dependent DNA replication,1,57,22,18514,15.67687074829932,0.06562326849361842,HELB,0.16750248643122492,False,True
BP,GO:0008089,anterograde axon cargo transport,1,57,22,18514,15.67687074829932,0.06562326849361842,BLOC1S2,0.16750248643122492,False,True
MF,GO:0051537,"2 iron, 2 sulfur cluster binding",1,57,22,18514,15.67687074829932,0.06562326849361842,CISD1,0.16750248643122492,False,True
BP,GO:0010467,gene expression,6,57,941,18514,2.2047184649260774,0.06843839949951802,EIF1AX;EIF5;HIST1H4B;HIST1H4D;PSME2;TFB2M,0.17294302101457942,False,False
BP,GO:0060135,maternal process involved in female pregnancy,1,57,23,18514,14.963474025974026,0.0685034044278529,UBE2A,0.17294302101457942,False,True
BP,GO:0000724,double-strand break repair via homologous recombination,2,57,142,18514,4.757662337662338,0.0709268351223792,HIST1H4B;HIST1H4D,0.17447177701408434,False,False
MF,GO:0005031,tumor necrosis factor-activated receptor activity,1,57,24,18514,14.312111801242237,0.07137481786939814,TNFRSF10D,0.17447177701408434,False,True
MF,GO:0016620,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",1,57,24,18514,14.312111801242237,0.07137481786939814,ALDH3B1,0.17447177701408434,False,True
BP,GO:0042104,positive regulation of activated T cell proliferation,1,57,24,18514,14.312111801242237,0.07137481786939814,JAK3,0.17447177701408434,False,True
MF,GO:0043015,gamma-tubulin binding,1,57,24,18514,14.312111801242237,0.07137481786939814,BLOC1S2,0.17447177701408434,False,True
